grantedModule,grantedAction,checkedModule,checkedAction,expectedAllowed,actualStatus,matchesExpectation,knownIssue
dashboard,view,dashboard,view,true,200,true,""
dashboard,view,dashboard,export,false,403,true,""
dashboard,view,catalog,view,false,403,true,""
dashboard,view,catalog,create,false,403,true,""
dashboard,view,catalog,edit,false,403,true,""
dashboard,view,catalog,delete,false,403,true,""
dashboard,view,inventory,view,false,403,true,""
dashboard,view,inventory,create,false,403,true,""
dashboard,view,inventory,edit,false,403,true,""
dashboard,view,procurement,view,false,403,true,""
dashboard,view,procurement,create,false,403,true,""
dashboard,view,procurement,edit,false,403,true,""
dashboard,view,procurement,delete,false,403,true,""
dashboard,view,procurement,approve,false,403,true,""
dashboard,view,production,view,false,403,true,""
dashboard,view,production,create,false,403,true,""
dashboard,view,production,edit,false,403,true,""
dashboard,view,production,delete,false,403,true,""
dashboard,view,shift_log,view,false,403,true,""
dashboard,view,shift_log,create,false,403,true,""
dashboard,view,shift_log,delete,false,403,true,""
dashboard,view,sales,view,false,403,true,""
dashboard,view,sales,create,false,403,true,""
dashboard,view,sales,edit,false,403,true,""
dashboard,view,sales,delete,false,403,true,""
dashboard,view,sales,approve,false,403,true,""
dashboard,view,sales,export,false,403,true,""
dashboard,view,parties,view,false,403,true,""
dashboard,view,parties,create,false,403,true,""
dashboard,view,parties,edit,false,403,true,""
dashboard,view,parties,delete,false,403,true,""
dashboard,view,expenses,view,false,403,true,""
dashboard,view,expenses,create,false,403,true,""
dashboard,view,expenses,edit,false,403,true,""
dashboard,view,expenses,delete,false,403,true,""
dashboard,view,locations,view,false,403,true,""
dashboard,view,locations,create,false,403,true,""
dashboard,view,locations,edit,false,403,true,""
dashboard,view,locations,delete,false,403,true,""
dashboard,view,reports,view,false,403,true,""
dashboard,view,settings,view,false,403,true,""
dashboard,view,vendor_orders,view,false,403,true,"internal roles; only checked on vendor portal"
dashboard,view,customer_orders,view,false,403,true,"internal roles; only checked on customer portal"
dashboard,view,returns,view,false,403,true,""
dashboard,view,returns,create,false,403,true,""
dashboard,view,returns,approve,false,403,true,""
dashboard,view,users,view,false,403,true,""
dashboard,view,users,create,false,403,true,""
dashboard,view,users,edit,false,403,true,""
dashboard,view,users,delete,false,403,true,""
dashboard,view,billing,view,false,403,true,""
dashboard,view,billing,create,false,403,true,""
dashboard,view,billing,edit,false,403,true,""
dashboard,view,stock_transfers,view,false,200,false,"no permission check on GET at all"
dashboard,view,stock_transfers,create,false,403,true,"checked against inventory:create, not stock_transfers"
dashboard,export,dashboard,view,false,403,true,""
dashboard,export,dashboard,export,true,200,true,""
dashboard,export,catalog,view,false,403,true,""
dashboard,export,catalog,create,false,403,true,""
dashboard,export,catalog,edit,false,403,true,""
dashboard,export,catalog,delete,false,403,true,""
dashboard,export,inventory,view,false,403,true,""
dashboard,export,inventory,create,false,403,true,""
dashboard,export,inventory,edit,false,403,true,""
dashboard,export,procurement,view,false,403,true,""
dashboard,export,procurement,create,false,403,true,""
dashboard,export,procurement,edit,false,403,true,""
dashboard,export,procurement,delete,false,403,true,""
dashboard,export,procurement,approve,false,403,true,""
dashboard,export,production,view,false,403,true,""
dashboard,export,production,create,false,403,true,""
dashboard,export,production,edit,false,403,true,""
dashboard,export,production,delete,false,403,true,""
dashboard,export,shift_log,view,false,403,true,""
dashboard,export,shift_log,create,false,403,true,""
dashboard,export,shift_log,delete,false,403,true,""
dashboard,export,sales,view,false,403,true,""
dashboard,export,sales,create,false,403,true,""
dashboard,export,sales,edit,false,403,true,""
dashboard,export,sales,delete,false,403,true,""
dashboard,export,sales,approve,false,403,true,""
dashboard,export,sales,export,false,403,true,""
dashboard,export,parties,view,false,403,true,""
dashboard,export,parties,create,false,403,true,""
dashboard,export,parties,edit,false,403,true,""
dashboard,export,parties,delete,false,403,true,""
dashboard,export,expenses,view,false,403,true,""
dashboard,export,expenses,create,false,403,true,""
dashboard,export,expenses,edit,false,403,true,""
dashboard,export,expenses,delete,false,403,true,""
dashboard,export,locations,view,false,403,true,""
dashboard,export,locations,create,false,403,true,""
dashboard,export,locations,edit,false,403,true,""
dashboard,export,locations,delete,false,403,true,""
dashboard,export,reports,view,false,403,true,""
dashboard,export,settings,view,false,403,true,""
dashboard,export,vendor_orders,view,false,403,true,"internal roles; only checked on vendor portal"
dashboard,export,customer_orders,view,false,403,true,"internal roles; only checked on customer portal"
dashboard,export,returns,view,false,403,true,""
dashboard,export,returns,create,false,403,true,""
dashboard,export,returns,approve,false,403,true,""
dashboard,export,users,view,false,403,true,""
dashboard,export,users,create,false,403,true,""
dashboard,export,users,edit,false,403,true,""
dashboard,export,users,delete,false,403,true,""
dashboard,export,billing,view,false,403,true,""
dashboard,export,billing,create,false,403,true,""
dashboard,export,billing,edit,false,403,true,""
dashboard,export,stock_transfers,view,false,200,false,"no permission check on GET at all"
dashboard,export,stock_transfers,create,false,403,true,"checked against inventory:create, not stock_transfers"
catalog,view,dashboard,view,false,403,true,""
catalog,view,dashboard,export,false,403,true,""
catalog,view,catalog,view,true,200,true,""
catalog,view,catalog,create,false,403,true,""
catalog,view,catalog,edit,false,403,true,""
catalog,view,catalog,delete,false,403,true,""
catalog,view,inventory,view,false,403,true,""
catalog,view,inventory,create,false,403,true,""
catalog,view,inventory,edit,false,403,true,""
catalog,view,procurement,view,false,403,true,""
catalog,view,procurement,create,false,403,true,""
catalog,view,procurement,edit,false,403,true,""
catalog,view,procurement,delete,false,403,true,""
catalog,view,procurement,approve,false,403,true,""
catalog,view,production,view,false,403,true,""
catalog,view,production,create,false,403,true,""
catalog,view,production,edit,false,403,true,""
catalog,view,production,delete,false,403,true,""
catalog,view,shift_log,view,false,403,true,""
catalog,view,shift_log,create,false,403,true,""
catalog,view,shift_log,delete,false,403,true,""
catalog,view,sales,view,false,403,true,""
catalog,view,sales,create,false,403,true,""
catalog,view,sales,edit,false,403,true,""
catalog,view,sales,delete,false,403,true,""
catalog,view,sales,approve,false,403,true,""
catalog,view,sales,export,false,403,true,""
catalog,view,parties,view,false,403,true,""
catalog,view,parties,create,false,403,true,""
catalog,view,parties,edit,false,403,true,""
catalog,view,parties,delete,false,403,true,""
catalog,view,expenses,view,false,403,true,""
catalog,view,expenses,create,false,403,true,""
catalog,view,expenses,edit,false,403,true,""
catalog,view,expenses,delete,false,403,true,""
catalog,view,locations,view,false,403,true,""
catalog,view,locations,create,false,403,true,""
catalog,view,locations,edit,false,403,true,""
catalog,view,locations,delete,false,403,true,""
catalog,view,reports,view,false,403,true,""
catalog,view,settings,view,false,403,true,""
catalog,view,vendor_orders,view,false,403,true,"internal roles; only checked on vendor portal"
catalog,view,customer_orders,view,false,403,true,"internal roles; only checked on customer portal"
catalog,view,returns,view,false,403,true,""
catalog,view,returns,create,false,403,true,""
catalog,view,returns,approve,false,403,true,""
catalog,view,users,view,false,403,true,""
catalog,view,users,create,false,403,true,""
catalog,view,users,edit,false,403,true,""
catalog,view,users,delete,false,403,true,""
catalog,view,billing,view,false,403,true,""
catalog,view,billing,create,false,403,true,""
catalog,view,billing,edit,false,403,true,""
catalog,view,stock_transfers,view,false,200,false,"no permission check on GET at all"
catalog,view,stock_transfers,create,false,403,true,"checked against inventory:create, not stock_transfers"
catalog,create,dashboard,view,false,403,true,""
catalog,create,dashboard,export,false,403,true,""
catalog,create,catalog,view,false,403,true,""
catalog,create,catalog,create,true,400,true,""
catalog,create,catalog,edit,false,403,true,""
catalog,create,catalog,delete,false,403,true,""
catalog,create,inventory,view,false,403,true,""
catalog,create,inventory,create,false,403,true,""
catalog,create,inventory,edit,false,403,true,""
catalog,create,procurement,view,false,403,true,""
catalog,create,procurement,create,false,403,true,""
catalog,create,procurement,edit,false,403,true,""
catalog,create,procurement,delete,false,403,true,""
catalog,create,procurement,approve,false,403,true,""
